"CharacterId","CharacterName","CharacterRarity","FcSkillId","FcName","FcDescription","TriggerType","TriggerTypeName","TargetType","TargetTypeName","UnitTargetType","UnitTargetTypeName","AttackRangeType","AttackRangeTypeName","AttackArea","IsAerialHit","ExecuteConditionCode"
"1100001","シャオレイ","1","1100001001","粉骨砕身","紋章：衝撃を5消費し、ダメージ倍率が【{[IMPACTSUCCEED.DAMAGE.DAMAGE_PERCENT]}】に変化","30","Chain/ForceChain","1","Opponent","0","All","1","Melee","{x: 0, y: 1}","0","UNRECOVERED_SERIALIZE_REFERENCE"
"1100002","ノエミ","1","1100002001","大地の御加護","さらに自身に紋章：情熱を【3】付与 / 紋章：情熱が5以上のとき、対象に自身の最大HP【{[PRJCTL.THROW.ZEAL.BARRIER.RATE]}】分のバリア【15秒】を付与","30","Chain/ForceChain","2","Friend","0","All","0","All","{x: 2, y: 5}","0","UNRECOVERED_SERIALIZE_REFERENCE"
"1100003","ルカ","1","1100003001","ライトニングアッパー","紋章：衝撃を5消費し、ダメージ倍率が【{[IMPACTSUCCEED.DAMAGE.DAMAGE_FIRST_PERCENT]}】上昇","30","Chain/ForceChain","1","Opponent","0","All","1","Melee","{x: 0, y: 1}","0","UNRECOVERED_SERIALIZE_REFERENCE"
"1100004","ヤチヨ","1","1100004001","龍神の怒り","紋章：衝撃を5消費し、ダメージ倍率が【{[PRJCTL.THROW.IMPACTSUCCEED.DAMAGE.DAMAGE_PERCENT]}】上昇","30","Chain/ForceChain","1","Opponent","0","All","0","All","{x: 0, y: 1}","0","UNRECOVERED_SERIALIZE_REFERENCE"
"1100005","エルミア","1","1100005001","アローレイン","紋章：衝撃を5消費し、ダメージ倍率が【{[PRJCTL.THROW.IMPACTSUCCEED.DAMAGE.DAMAGE_PERCENT]}】上昇","30","Chain/ForceChain","1","Opponent","0","All","0","All","{x: 0, y: 1}","0","UNRECOVERED_SERIALIZE_REFERENCE"
"1100006","メレム","1","1100006001","清泉の癒し","会心率UPが【{[CRITICALUP.FIXED_PERCENT]} / 15秒】に変化 / 紋章：情熱が5以上のとき、自身に攻撃力UP【{[ZEAL.ATTACKUP.RATE_PERCENT]} / 永続】を付与","30","Chain/ForceChain","1","Opponent","0","All","0","All","{x: 0, y: 1}","0","UNRECOVERED_SERIALIZE_REFERENCE"
"1100007","セレスト","1","1100007001","私刑執行","ダメージ倍率が【{[DAMAGE.DAMAGE_PERCENT]}】に変化 / 紋章：情熱が5以上のとき、自身に攻撃力UP【{[ZEAL.ATTACKUP.RATE_PERCENT]} / 永続】を付与","30","Chain/ForceChain","1","Opponent","0","All","1","Melee","{x: 0, y: 1}","0","UNRECOVERED_SERIALIZE_REFERENCE"
"1100008","クロエ","1","1100008001","ガチ恋エール","紋章：衝撃を5消費し、味方フロント全体に会心ダメージ倍率UP【{[PRJCTL.THROW.IMPACT.CRITICALDAMAGERATEUP.FIXED_PERCENT]}/ 10秒】を付与","30","Chain/ForceChain","1","Opponent","0","All","1","Melee","{x: 0, y: 1}","0","UNRECOVERED_SERIALIZE_REFERENCE"
"1100009","ベティ","1","1100009001","お手製爆弾","自身に紋章：情熱を【3】付与 / 紋章：情熱が5以上のとき、火・水・土属性の味方フロント全体に紋章：情熱を【1】付与","30","Chain/ForceChain","1","Opponent","0","All","1","Melee","{x: 0, y: 1}","0","UNRECOVERED_SERIALIZE_REFERENCE"
"1100010","フェイリン","1","1100010001","霊符解放","紋章：衝撃を5消費し、自身に最大HP【{[IMPACT.RECOVER.HEAL_PERCENT]}】分の回復","30","Chain/ForceChain","1","Opponent","0","All","1","Melee","{x: 0, y: 1}","0","UNRECOVERED_SERIALIZE_REFERENCE"
"1100011","シェリル","1","1100011001","エクスプロージョンバレット","自身に紋章：情熱を【3】付与 / 紋章：情熱が5以上のとき、対象に炎上【{[ZEAL.ABNORMAL.DURATION]秒} / 成功率:50%】を付与","30","Chain/ForceChain","1","Opponent","0","All","1","Melee","{x: 0, y: 1}","0","UNRECOVERED_SERIALIZE_REFERENCE"
"1100012","シャノン","1","1100012001","ターゲット・ロックオン","ダメージ倍率が【{[PRJCTL.THROW.DAMAGE.DAMAGE_PERCENT]}】に変化 / 紋章：情熱が5以上のとき、防御力DOWN【15% / {[PRJCTL.THROW.ZEAL .DEFENCEDOWN.DURATION]秒}】を付与","30","Chain/ForceChain","1","Opponent","0","All","0","All","{x: 0, y: 1}","0","UNRECOVERED_SERIALIZE_REFERENCE"
"1100013","フレイヤ","1","1100013001","スパーキング・スラッシュ","ダメージ倍率が【{[DAMAGE.DAMAGE_PERCENT]}】に変化 / 紋章：情熱が5以上のとき、自身のスキルを【{[ZEAL.SKILL_CHARGE.CHARGE_VALUE]}】チャージ","30","Chain/ForceChain","1","Opponent","0","All","1","Melee","{x: 0, y: 1}","0","UNRECOVERED_SERIALIZE_REFERENCE"
"1100014","リタ","1","1100014001","百花繚乱","最大HP【{[RECOVER.HEAL_PERCENT]}】分の回復に変化","30","Chain/ForceChain","1","Opponent","0","All","1","Melee","{x: 0, y: 1}","0","UNRECOVERED_SERIALIZE_REFERENCE"
"1100015","スティーラ","1","1100015001","ガーディアン・クリスタル","紋章：衝撃を5消費し、光・闇・無属性の味方フロント全体に紋章：衝撃を【2】付与","30","Chain/ForceChain","1","Opponent","0","All","0","All","{x: 0, y: 1}","0","UNRECOVERED_SERIALIZE_REFERENCE"
"1100016","テルー","1","1100016001","アイスワークス","凍結が【15秒 / 成功率:50%】に変化","30","Chain/ForceChain","1","Opponent","0","All","2","Range","{x: 2, y: 5}","0","UNRECOVERED_SERIALIZE_REFERENCE"
"1200001","ローザ","2","1200001001","セレスティアルスラッシュ","紋章：衝撃を5消費し、ダメージ倍率が【{[IMPACTSUCCEED.DAMAGE.DAMAGE_PERCENT]}】に変化","30","Chain/ForceChain","1","Opponent","0","All","0","All","{x: 0, y: 1.2}","0","UNRECOVERED_SERIALIZE_REFERENCE"
"1200002","ベリサ","2","1200002001","ファイアボール","さらに自身に紋章：情熱を【3】付与 / 攻撃力UP【10% / {[ATTACKUP.DURATION]秒}】を付与","30","Chain/ForceChain","1","Opponent","0","All","2","Range","{x: 2.5, y: 6}","0","UNRECOVERED_SERIALIZE_REFERENCE"
"1200003","マリナ","2","1200003001","ヒールポーション","回復倍率が【{[PRJCTL.AOE.RECOVER.HEAL_PERCENT]}】に変化 / 対象の火・水・土属性の味方全体に紋章：情熱を【1】付与","30","Chain/ForceChain","2","Friend","0","All","0","All","{x: 0, y: 100}","1","UNRECOVERED_SERIALIZE_REFERENCE"
"1200004","ダリア","2","1200004001","スモークバースト","紋章：衝撃を5消費し、対象に防御力DOWN【{[IMPACTSUCCEED.PRJCTL.AOE.DEFENCEDOWN.RATE_PERCENT]} / 20秒】を付与","30","Chain/ForceChain","1","Opponent","0","All","1","Melee","{x: 0, y: 1.2}","0","UNRECOVERED_SERIALIZE_REFERENCE"
"1200005","エメルダ","2","1200005001","魅惑の矢","魅了の付与秒数が【{[PRJCTL.THROW.ABNORMAL.DURATION]秒}】に変化 / 紋章：衝撃を5消費し、ダメージ倍率が【{[PRJCTL.THROW.IMPACTSUCCEED.DAMAGE.DAMAGE_PERCENT]}】に変化","30","Chain/ForceChain","1","Opponent","0","All","2","Range","{x: 2, y: 5}","1","UNRECOVERED_SERIALIZE_REFERENCE"
"1200006","カーラ","2","1200006001","水の型・逆袈裟","さらに防御力DOWN【{[DEFENCEDOWN.RATE_PERCENT]} / 15秒】を付与 / ダメージ倍率が【{[DAMAGE.DAMAGE_PERCENT]}】に変化 / 紋章：情熱が5以上のとき、自身に最大HP【{[ZEAL.RECOVER.HEAL_PERCENT]}】分の回復","30","Chain/ForceChain","1","Opponent","0","All","1","Melee","{x: 0, y: 1.2}","0","UNRECOVERED_SERIALIZE_REFERENCE"
"1200008","ライム","2","1200008001","雷閃","ダメージ倍率が【{[DAMAGE.DAMAGE_PERCENT:1]}】に変化 / 紋章：衝撃を5消費し、攻撃ごとに麻痺【10秒 / 成功率:{[IMPACTSUCCEED.ABNORMAL.APPLY_PROBABILITY:1]}】を付与","30","Chain/ForceChain","1","Opponent","0","All","1","Melee","{x: 0, y: 1.2}","0","UNRECOVERED_SERIALIZE_REFERENCE"
"1200011","マーガレット","2","1200011001","聖女の祈り","紋章：衝撃を5消費し、さらに自身の最大HP【{[IMPACT.RECOVER.HEAL_PERCENT]}】分の回復","30","Chain/ForceChain","1","Opponent","0","All","1","Melee","{x: 0, y: 1.2}","0","UNRECOVERED_SERIALIZE_REFERENCE"
"1200012","アヤメ","2","1200012001","瞬きの死","ダメージ倍率が【{[DAMAGE.DAMAGE_PERCENT]}】に変化 / 紋章：衝撃を5消費し、防御力DOWN【{[IMPACT.DEFENCEDOWN.RATE_PERCENT]} / 15秒】を付与","30","Chain/ForceChain","1","Opponent","0","All","1","Melee","{x: 0, y: 1.2}","0","UNRECOVERED_SERIALIZE_REFERENCE"
"1200013","ヘイリー","2","1200013001","魔眼の一突き","さらに自身に挑発【25秒】を付与 / 紋章：衝撃を5消費し、自身に最大HP【{[IMPACT.BARRIER.RATE]}】分のバリア【15秒】を付与","30","Chain/ForceChain","1","Opponent","0","All","1","Melee","{x: 0, y: 1.2}","0","UNRECOVERED_SERIALIZE_REFERENCE"
"1200014","ジェンマ","2","1200014001","マジカルスモーキング","さらにマナを【{[MANA_CHARGE.CHARGE_VALUE]}】チャージ","30","Chain/ForceChain","1","Opponent","0","All","0","All","{x: 0, y: 1.2}","0","UNRECOVERED_SERIALIZE_REFERENCE"
"1200015","イオラ","2","1200015001","バーニングナックル","さらに対象に炎上【{[ABNORMAL.DURATION]秒} / 成功率:50%】を付与","30","Chain/ForceChain","1","Opponent","0","All","1","Melee","{x: 0, y: 1.2}","0","UNRECOVERED_SERIALIZE_REFERENCE"
"1200016","ソフィア","2","1200016001","ソードオブマーキス","紋章：衝撃を5消費し、自身に防御力UP【{[IMPACTSUCCEED.DEFENCEUP.RATE_PERCENT]} / 15秒】を付与 / ダメージ倍率が【{[IMPACTSUCCEED.DAMAGE.DAMAGE_PERCENT]}】に変化","30","Chain/ForceChain","1","Opponent","0","All","1","Melee","{x: 0, y: 1.2}","0","UNRECOVERED_SERIALIZE_REFERENCE"
"1200017","ヒマリ","2","1200017001","ノヴァブラスト","自身に攻撃力UP【{[ATTACKUP.RATE_PERCENT]}  / 15秒】を付与 / 紋章：衝撃を5消費し、ダメージ倍率が【{[IMPACTSUCCEED.DAMAGE.DAMAGE_PERCENT]}】に変化","30","Chain/ForceChain","1","Opponent","0","All","1","Melee","{x: 0, y: 1.2}","0","UNRECOVERED_SERIALIZE_REFERENCE"
"1200018","クルル","2","1200018001","ワイルドラッシュ","ダメージ倍率が【{[DAMAGE.DAMAGE_PERCENT]}】に変化 / 紋章：情熱が5以上のとき、自身に会心率UP【20% / {[ZEAL.CRITICALUP.DURATION]秒}】を付与","30","Chain/ForceChain","1","Opponent","0","All","0","All","{x: 0, y: 1.2}","1","UNRECOVERED_SERIALIZE_REFERENCE"
"1200019","アイシャ","2","1200019001","冥府への使役","自身に紋章：衝撃を【3】付与  /  紋章：衝撃を5消費し、石化の成功率が【{[PRJCTL.LAND.IMPACTSUCCEED.ABNORMAL.APPLY_PROBABILITY]}】に変化","30","Chain/ForceChain","1","Opponent","0","All","0","All","{x: 0, y: 1.2}","1","UNRECOVERED_SERIALIZE_REFERENCE"
"1300001","レヴィエーヌ","3","1300001001","バーニングロンド","ダメージ倍率が【{[DAMAGE.DAMAGE_PERCENT]}】に上昇 / 紋章：情熱が5以上のとき、自身のスキルを【{[ZEAL.SKILL_CHARGE.CHARGE_VALUE]}】チャージ","30","Chain/ForceChain","1","Opponent","0","All","0","All","{x: 0, y: 1.2}","1","UNRECOVERED_SERIALIZE_REFERENCE"
"1300002","コトノ","3","1300002001","一目千両桜","さらに自身に自身の最大HP【{[BARRIER.RATE]}】分のバリア【15秒】を付与 / 紋章：情熱が5以上のとき、自身にスキルチャージ効率UP【20% / {[ZEALOVER.SKILLCHARGEQUANTITYUP.DURATION]秒}】を付与","30","Chain/ForceChain","1","Opponent","0","All","1","Melee","{x: 0, y: 1.2}","1","UNRECOVERED_SERIALIZE_REFERENCE"
"1300003","エティア","3","1300003001","シルバーバレット","紋章：衝撃を5消費し、ダメージ倍率が【{[PRJCTL.THROW.IMPACTSUCCEED.DAMAGE.DAMAGE_PERCENT]}】に変化","30","Chain/ForceChain","1","Opponent","0","All","2","Range","{x: 0, y: 6}","0","UNRECOVERED_SERIALIZE_REFERENCE"
"1300004","フレデリカ","3","1300004001","カースドポーション","紋章：衝撃を5消費し、対象に魅了【{[PRJCTL.LAND.IMPACTSUCCEED.ABNORMAL.DURATION]秒} / 成功率:100%】を付与","30","Chain/ForceChain","1","Opponent","0","All","0","All","{x: 0, y: 2.5}","0","UNRECOVERED_SERIALIZE_REFERENCE"
"1300005","フィルム","3","1300005001","ゴーストライド","自身に会心ダメージ倍率UP【{[CRITICALDAMAGERATEUP.FIXED_PERCENT]} / 15秒】を付与 / 紋章：衝撃を5消費し、ノワール憑依が【20秒】に変化 / ダメージ倍率が【{[IMPACTSUCCEED.DAMAGE.DAMAGE_PERCENT]}】に変化","30","Chain/ForceChain","1","Opponent","0","All","1","Melee","{x: 0, y: 1.2}","0","UNRECOVERED_SERIALIZE_REFERENCE"
"1300006","グラディア","3","1300006001","ドリルミサイル","ダメージ倍率が【{[ZEALOVER.PRJCTL.LAND.DAMAGE.DAMAGE_PERCENT]}】に変化 / 紋章：情熱が10以上のとき、対象に防御力DOWN【{[ZEALOVER.PRJCTL.LAND.DEFENCEDOWN.RATE_PERCENT]} / {[ZEALOVER.PRJCTL.LAND.DEFENCEDOWN.DURATION]}秒】を付与","30","Chain/ForceChain","1","Opponent","0","All","0","All","{x: 0, y: 1.2}","0","UNRECOVERED_SERIALIZE_REFERENCE"
"1300007","ウィステリア","3","1300007001","ヴァーミリオンアロー","ダメージ倍率が【{[PRJCTL.LAND.DAMAGE.DAMAGE_PERCENT]}】に変化","30","Chain/ForceChain","1","Opponent","0","All","2","Range","{x: 2, y: 5}","1","UNRECOVERED_SERIALIZE_REFERENCE"
"1300008","エレクトラ","3","1300008001","レーザーガトリング","紋章：衝撃を5消費し、ダメージ倍率が【{[IMPACTSUCCEED.DAMAGE.DAMAGE_PERCENT]}】に変化","30","Chain/ForceChain","1","Opponent","0","All","1","Melee","{x: 0, y: 1.2}","1","UNRECOVERED_SERIALIZE_REFERENCE"
"1300009","ヴィーラ","3","1300009001","フロストスパイク","紋章：情熱が5以上のとき、凍結の付与秒数が【{[PRJCTL.LAND.ZEAL.ABNORMAL.DURATION]秒}】に変化","30","Chain/ForceChain","1","Opponent","0","All","2","Range","{x: 2.5, y: 6}","1","UNRECOVERED_SERIALIZE_REFERENCE"
