"CharacterId","Reason"
"100901001G","No matching normal-version PNG bundle in captured resource catalog"
"101301001G","No matching normal-version PNG bundle in captured resource catalog"
"101501000G","No matching normal-version PNG bundle in captured resource catalog"
"101701000G","No matching normal-version PNG bundle in captured resource catalog"
"102101001G","No matching normal-version PNG bundle in captured resource catalog"
"102401001G","No matching normal-version PNG bundle in captured resource catalog"
"102701000G","No matching normal-version PNG bundle in captured resource catalog"
"103001000G","No matching normal-version PNG bundle in captured resource catalog"
"103101001G","No matching normal-version PNG bundle in captured resource catalog"
"103501000G","No matching normal-version PNG bundle in captured resource catalog"
"103701000G","No matching normal-version PNG bundle in captured resource catalog"
"103801000G","No matching normal-version PNG bundle in captured resource catalog"
"105701000G","No matching normal-version PNG bundle in captured resource catalog"
"106401001G","No matching normal-version PNG bundle in captured resource catalog"
"107001000G","No matching normal-version PNG bundle in captured resource catalog"
"107301000G","No matching normal-version PNG bundle in captured resource catalog"
"107601000G","No matching normal-version PNG bundle in captured resource catalog"
"107801000G","No matching normal-version PNG bundle in captured resource catalog"
"107901000G","No matching normal-version PNG bundle in captured resource catalog"
"108101000G","No matching normal-version PNG bundle in captured resource catalog"
"108301000G","No matching normal-version PNG bundle in captured resource catalog"
"108501000G","No matching normal-version PNG bundle in captured resource catalog"
"108801000G","No matching normal-version PNG bundle in captured resource catalog"
"109201000G","No matching normal-version PNG bundle in captured resource catalog"
"109501000G","No matching normal-version PNG bundle in captured resource catalog"
"110001000G","No matching normal-version PNG bundle in captured resource catalog"
"110301000G","No matching normal-version PNG bundle in captured resource catalog"
"110501000G","No matching normal-version PNG bundle in captured resource catalog"
"110901000G","No matching normal-version PNG bundle in captured resource catalog"
"111201000G","No matching normal-version PNG bundle in captured resource catalog"
"113501000G","No matching normal-version PNG bundle in captured resource catalog"
"113601000G","No matching normal-version PNG bundle in captured resource catalog"
